id,activity,application,application_id,attachments,attachments.0.content_scan_version,attachments.0.content_type,attachments.0.filename,attachments.0.height,attachments.0.id,attachments.0.proxy_url,attachments.0.size,attachments.0.url,attachments.0.width,author.accent_color,author.avatar,author.avatar_decoration_data,author.banner,author.banner_color,author.clan,author.collectibles,author.discriminator,author.display_name_styles,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,embeds.0.color,embeds.0.content_scan_version,embeds.0.description,embeds.0.provider.name,embeds.0.provider.url,embeds.0.reference_id,embeds.0.thumbnail.content_type,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.placeholder,embeds.0.thumbnail.placeholder_version,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.title,embeds.0.type,embeds.0.url,embeds.0.video.flags,embeds.0.video.height,embeds.0.video.placeholder,embeds.0.video.placeholder_version,embeds.0.video.proxy_url,embeds.0.video.url,embeds.0.video.width,flags,interaction,mention_channels,mention_everyone,mentions,mentions.0.accent_color,mentions.0.avatar,mentions.0.avatar_decoration_data,mentions.0.avatar_decoration_data.asset,mentions.0.avatar_decoration_data.expires_at,mentions.0.avatar_decoration_data.sku_id,mentions.0.banner,mentions.0.banner_color,mentions.0.clan,mentions.0.clan.badge,mentions.0.clan.identity_enabled,mentions.0.clan.identity_guild_id,mentions.0.clan.tag,mentions.0.collectibles,mentions.0.collectibles.nameplate.asset,mentions.0.collectibles.nameplate.label,mentions.0.collectibles.nameplate.palette,mentions.0.collectibles.nameplate.sku_id,mentions.0.discriminator,mentions.0.display_name_styles,mentions.0.display_name_styles.colors.0,mentions.0.display_name_styles.colors.1,mentions.0.display_name_styles.effect_id,mentions.0.display_name_styles.font_id,mentions.0.flags,mentions.0.global_name,mentions.0.id,mentions.0.primary_guild,mentions.0.primary_guild.badge,mentions.0.primary_guild.identity_enabled,mentions.0.primary_guild.identity_guild_id,mentions.0.primary_guild.tag,mentions.0.public_flags,mentions.0.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1384260836176035900,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,🗣️,2025-06-16T19:58:21.667Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:58:21.667000+00:00,false,0,danii,
1384260821835579466,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,go finish studying cro im cheering for you,2025-06-16T19:58:18.248Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,31fe01f4aae87ec8b536589abaf1614d,,,,,,,,6082c2553b03b47ccaea5203567df3cf,true,876189935382704210,GG,,,,,,0,,,,,,64,james,1190108183637803021,,6082c2553b03b47ccaea5203567df3cf,true,876189935382704210,GG,64,james.james.james.james,,474583324396879884,474583323340046337,1384260662355820614,0,,false,,,,,,,,,2025-06-16T19:58:18.248000+00:00,false,19,danii,
1384260281466748949,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,thanks and nah just trying to finish literally any project 💀,2025-06-16T19:56:09.414Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,468f58a07fe3605a6a6f7293f30486da,,,,,,,,,,,,,,,,,0,,,,,,0,rauldhs,560533879895883777,,,,,,0,rauldhs,,474583324396879884,474583323340046337,1384260174990151850,0,,false,,,,,,,,,2025-06-16T19:56:09.414000+00:00,false,19,danii,
1384260055859466270,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,AT LEAST 2 milk,2025-06-16T19:55:15.625Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,41505db6fdf6f7d98f203cda62ae60d2,,,,,,,,,,,,,,,,,0,,,,,,64,,404629747503726592,,,,,,64,salutcf,,474583324396879884,474583323340046337,1384259990319267862,0,,false,,,,,,,,,2025-06-16T19:55:15.625000+00:00,false,19,danii,
1384259994693799978,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,ik right,2025-06-16T19:55:01.042Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,73470b31d00fe1fdc1a558cb2a38a514,,,,,,,,,,,,,,,,,0,,,,,,64,AlmightyMikkel,764947739121287168,,,,,,64,almightymikkel,,474583324396879884,474583323340046337,1384259947252023449,0,,false,,,,,,,,,2025-06-16T19:55:01.042000+00:00,false,19,danii,
1384259895963942952,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,man its been years,2025-06-16T19:54:37.503Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,468f58a07fe3605a6a6f7293f30486da,,,,,,,,,,,,,,,,,0,,,,,,0,rauldhs,560533879895883777,,,,,,0,rauldhs,,474583324396879884,474583323340046337,1384259849000456243,0,,false,,,,,,,,,2025-06-16T19:54:37.503000+00:00,false,19,danii,
1384259434418671679,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,nikashi is the GOAT,2025-06-16T19:52:47.462Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:52:47.462000+00:00,false,0,danii,
1384259380421066843,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,this is the only reason im pissed,2025-06-16T19:52:34.588Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:52:34.588000+00:00,false,0,danii,
1384259365019848865,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,BRO,2025-06-16T19:52:30.916Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,a_ce05e89ba248576351543676d71149fe,,a_3c97a2d37f433a7913a1c7b7a735d000,,1144308439720394944,,,,,,,,,nameplates/nameplates/vengeance/,COLLECTIBLES_NAMEPLATES_VENGEANCE_A11Y,violet,1349849614257225760,0,,,,,,4326144,3vil,136985027413147648,,,,,,4326144,3vil,,474583324396879884,474583323340046337,1384259314776018975,0,,false,,,,,,,,,2025-06-16T19:52:30.916000+00:00,false,19,danii,
1384258598322049125,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,i cant believe this mikkel,2025-06-16T19:49:28.121Z,2025-06-16T19:49:29.916000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:49:28.121000+00:00,false,0,danii,
1384258092816138300,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,bold to assume i have the social skills for such a feat,2025-06-16T19:47:27.599Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,73470b31d00fe1fdc1a558cb2a38a514,,,,,,,,,,,,,,,,,0,,,,,,64,AlmightyMikkel,764947739121287168,,,,,,64,almightymikkel,,474583324396879884,474583323340046337,1384257968748626081,0,,false,,,,,,,,,2025-06-16T19:47:27.599000+00:00,false,19,danii,
1384257195776147696,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,okay okay no worries,2025-06-16T19:43:53.728Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:43:53.728000+00:00,false,0,danii,
1384257172359348285,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,!roll 10,2025-06-16T19:43:48.145Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:43:48.145000+00:00,false,0,danii,
1384257165224710204,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,if i roll a 3 i will do it fr,2025-06-16T19:43:46.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:43:46.444000+00:00,false,0,danii,
1384256987759509755,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,https://tenor.com/view/nileseyy-niles-peace-out-disappear-meme-disappearing-guy-checking-out-gif-25558985,2025-06-16T19:43:04.133Z,,,,2,,Tenor,https://tenor.co,,,0,490,WSkKFYJkjVj5V3iZZ+ZmmGB/czBL,1,https://images-ext-1.discordapp.net/external/eztoDL7kcheVfh_t8BO3FNhdie7l5V1ItrVfVEl2ngQ/https/media.tenor.com/a5w95V3HdVcAAAAe/nileseyy-niles-peace-out.png,https://media.tenor.com/a5w95V3HdVcAAAAe/nileseyy-niles-peace-out.png,640,,gifv,https://tenor.com/view/nileseyy-niles-peace-out-disappear-meme-disappearing-guy-checking-out-gif-25558985,0,490,WSkKFYJkjVj5V3iZZ+ZmmGB/czBL,1,https://images-ext-1.discordapp.net/external/xM9jepqsHM1zNHNrQw-8zDwIZXvIEX9s1HizPDkxhZo/https/media.tenor.com/a5w95V3HdVcAAAPo/nileseyy-niles-peace-out.mp4,https://media.tenor.com/a5w95V3HdVcAAAPo/nileseyy-niles-peace-out.mp4,640,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:43:04.133000+00:00,false,0,danii,
1384256955698253884,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,!roll 10,2025-06-16T19:42:56.489Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:42:56.489000+00:00,false,0,danii,
1384256950359036025,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,if i roll 6 i will tell you all about my current project,2025-06-16T19:42:55.216Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:42:55.216000+00:00,false,0,danii,
1384256828094943382,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,!roll 1000,2025-06-16T19:42:26.066Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:42:26.066000+00:00,false,0,danii,
1384256814887207042,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,deal,2025-06-16T19:42:22.917Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,73470b31d00fe1fdc1a558cb2a38a514,,,,,,,,,,,,,,,,,0,,,,,,64,AlmightyMikkel,764947739121287168,,,,,,64,almightymikkel,,474583324396879884,474583323340046337,1384256710201577572,0,,false,,,,,,,,,2025-06-16T19:42:22.917000+00:00,false,19,danii,
1384256559781122058,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,cant do taht,2025-06-16T19:41:22.095Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:41:22.095000+00:00,false,0,danii,
1384256552747274392,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,i wouldnt ban any of my cros,2025-06-16T19:41:20.418Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:41:20.418000+00:00,false,0,danii,
1384256347255869470,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,yeah you got banned,2025-06-16T19:40:31.425Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:40:31.425000+00:00,false,0,danii,
1384256331644403804,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,!roll 2,2025-06-16T19:40:27.703Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:40:27.703000+00:00,false,0,danii,
1384245055870734458,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,https://tenor.com/view/spongebob-squarepants-spongebob-leg-day-legs-muscle-gif-5436081,2025-06-16T18:55:39.349Z,,,,2,,Tenor,https://tenor.co,1384245055870734458,,0,340,mOgJJYZ2k2lfZ4iLl7ZpilRvOPmX,1,https://images-ext-1.discordapp.net/external/rxYb9XVNcIvqTsbI-gvj9VM-ZnsZwlHAbCohtshW7ik/https/media.tenor.com/BN5zpzuYjj0AAAAe/spongebob-squarepants-spongebob.png,https://media.tenor.com/BN5zpzuYjj0AAAAe/spongebob-squarepants-spongebob.png,480,,gifv,https://tenor.com/view/spongebob-squarepants-spongebob-leg-day-legs-muscle-gif-5436081,0,340,mOgJJYZ2k2lfZ4iLl7ZpilRvOPmX,1,https://images-ext-1.discordapp.net/external/RzRE7k89ayKVRIhN6oPjlBybBg2kRVHX0kxGaO-RI5U/https/media.tenor.com/BN5zpzuYjj0AAAPo/spongebob-squarepants-spongebob.mp4,https://media.tenor.com/BN5zpzuYjj0AAAPo/spongebob-squarepants-spongebob.mp4,480,0,,,false,,,c98759c2b1c5b6f09c36be195515a810,,a_459cf2afde41f01559a4a4204ab81767,,1326333074061135992,,,,8e228078dc56d4ad8bdccb696d4e90be,true,1322120002576453745,SUDO,,nameplates/special_events_2/nitro_rocketfuel_nameplate/,COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y,violet,1409983105577783410,0,,14966527,2522592,2,7,4194560,Master Abood 🇵🇸,672487443932512277,,8e228078dc56d4ad8bdccb696d4e90be,true,1322120002576453745,SUDO,4194560,abdallahdev,,474583324396879884,474583323340046337,1384244917684932699,0,,false,,,,,,,,,2025-06-16T18:55:39.349000+00:00,false,19,danii,
1384244836982456514,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,yeah i do this every morning,2025-06-16T18:54:47.162Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T18:54:47.162000+00:00,false,0,danii,
