id,activity,application,application_id,attachments,attachments.0.content_scan_version,attachments.0.content_type,attachments.0.filename,attachments.0.height,attachments.0.id,attachments.0.original_content_type,attachments.0.placeholder,attachments.0.placeholder_version,attachments.0.proxy_url,attachments.0.size,attachments.0.url,attachments.0.width,author.accent_color,author.avatar,author.avatar_decoration_data,author.banner,author.banner_color,author.clan.badge,author.clan.identity_enabled,author.clan.identity_guild_id,author.clan.tag,author.collectibles,author.discriminator,author.display_name_styles,author.flags,author.global_name,author.id,author.primary_guild.badge,author.primary_guild.identity_enabled,author.primary_guild.identity_guild_id,author.primary_guild.tag,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,embeds.0.content_scan_version,embeds.0.provider.name,embeds.0.provider.url,embeds.0.reference_id,embeds.0.thumbnail.content_type,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.placeholder,embeds.0.thumbnail.placeholder_version,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.title,embeds.0.type,embeds.0.url,embeds.0.video.flags,embeds.0.video.height,embeds.0.video.placeholder,embeds.0.video.placeholder_version,embeds.0.video.proxy_url,embeds.0.video.url,embeds.0.video.width,flags,interaction,mention_channels,mention_everyone,mentions,mentions.0.accent_color,mentions.0.avatar,mentions.0.avatar_decoration_data,mentions.0.avatar_decoration_data.asset,mentions.0.avatar_decoration_data.expires_at,mentions.0.avatar_decoration_data.sku_id,mentions.0.banner,mentions.0.banner_color,mentions.0.clan,mentions.0.clan.badge,mentions.0.clan.identity_enabled,mentions.0.clan.identity_guild_id,mentions.0.clan.tag,mentions.0.collectibles,mentions.0.collectibles.nameplate.asset,mentions.0.collectibles.nameplate.label,mentions.0.collectibles.nameplate.palette,mentions.0.collectibles.nameplate.sku_id,mentions.0.discriminator,mentions.0.display_name_styles,mentions.0.display_name_styles.colors.0,mentions.0.display_name_styles.effect_id,mentions.0.display_name_styles.font_id,mentions.0.flags,mentions.0.global_name,mentions.0.id,mentions.0.primary_guild,mentions.0.primary_guild.badge,mentions.0.primary_guild.identity_enabled,mentions.0.primary_guild.identity_guild_id,mentions.0.primary_guild.tag,mentions.0.public_flags,mentions.0.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,sticker_items.0.format_type,sticker_items.0.id,sticker_items.0.name,stickers,thread,timestamp,tts,type,userName,webhook_id
1411272094481780789,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,"Never heard of that before, so im not quite sure. Heres what you can do tho:
1. Start the game, get to mid run and make sure it crashes
2. **Don't restart the game**
3. Go to your Appdata and find the logfile:
```C:\Users\YourUserNameHere\AppData\LocalLow\Vedinad\Megabonk Demo```
Replace YourUserNameHere with your windows username.
4. Find the Player.log file, and send it to me in DMs",2025-08-30T08:51:27.492Z,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,b0551dd94c2a65263a2c805bdef62a59,,,,,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,,,,,0,,,,,0,gatto,1062067797380841582,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,oli30478,,1316701502584393741,1316701502584393738,1411265887645728851,0,,false,,,,,,,,,,,,2025-08-30T08:51:27.492000+00:00,false,19,vedinad,
1411259428388343829,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,Yeeh its really wack..,2025-08-30T08:01:07.660Z,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,c7c3dece2a5a128b57330de0c985c9b8,,,,,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,,,,,0,,,,,0,Skeletor,187342982133972992,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,skeletor1337,,1316701502584393741,1316701502584393738,1411242564467560560,0,,false,,,,,,,,,,,,2025-08-30T08:01:07.660000+00:00,false,19,vedinad,
1411131943977746442,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,https://tenor.com/view/donald-duck-sleep-gif-12073235593935901891,2025-08-29T23:34:33.008Z,,,2,Tenor,https://tenor.co,,,0,372,EfcJLYJFeHiQd4myeZeWaJifpvaI,1,https://images-ext-1.discordapp.net/external/O3ABQNYhWR8YlgSmVlabw8fzW_OSsnmg5Yn5CyPPqog/https/media.tenor.com/p4y_zlIm1MMAAAAe/donald-duck-sleep.png,https://media.tenor.com/p4y_zlIm1MMAAAAe/donald-duck-sleep.png,498,,gifv,https://tenor.com/view/donald-duck-sleep-gif-12073235593935901891,0,372,EfcJLYJFeHiQd4myeZeWaJifpvaI,1,https://images-ext-1.discordapp.net/external/ANV0evre0NZ6FBvdsmPCEdWI3QTUtAIJwmH4RA0Lqx0/https/media.tenor.com/p4y_zlIm1MMAAAPo/donald-duck-sleep.mp4,https://media.tenor.com/p4y_zlIm1MMAAAPo/donald-duck-sleep.mp4,498,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-08-29T23:34:33.008000+00:00,false,0,vedinad,
1411131823819587734,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,?warn <@343692213445984259> please no w word in general,2025-08-29T23:34:04.360Z,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,02ede9afc418bd7bf51748f131643354,,,,,,,,,,,,,,,,,0,,15505238,5,12,128,vBxrby,343692213445984259,,,,,,128,vbxrby,,,,,,,false,,,,,,,,,,,,2025-08-29T23:34:04.360000+00:00,false,0,vedinad,
1411131705452134422,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,nice one perell,2025-08-29T23:33:36.139Z,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-08-29T23:33:36.139000+00:00,false,0,vedinad,
1411131676809232415,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,thats a clever comeback,2025-08-29T23:33:29.310Z,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-08-29T23:33:29.310000+00:00,false,0,vedinad,
1411121502656663604,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,i preffffer fleetwood min haha,2025-08-29T22:53:03.603Z,2025-08-29T22:53:08.002000+00:00,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-08-29T22:53:03.603000+00:00,false,0,vedinad,
1411121179573354566,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,fleetwood mac is the goat,2025-08-29T22:51:46.574Z,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,02ede9afc418bd7bf51748f131643354,,,,,,,,,,,,,,,,,0,,15505238,5,12,128,vBxrby,343692213445984259,,,,,,128,vbxrby,,1316701502584393741,1316701502584393738,1411119503936327866,0,,false,,,,,,,,,,,,2025-08-29T22:51:46.574000+00:00,false,19,vedinad,
1411088735700910185,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,cookin short,2025-08-29T20:42:51.352Z,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-08-29T20:42:51.352000+00:00,false,0,vedinad,
1410968302951596164,,,,,,,,,,,,,,,,,,dc4e53c41889b574f00ea88a73cd3bb1,,,,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,,0,,0,ved,1316698555389317161,6912685042f7d51266a84ed51ebca107,true,1316701502584393738,BONK,0,vedinad,,1316701502584393741,,nah i think youre on day like 5 now max,2025-08-29T12:44:17.947Z,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-08-29T12:44:17.947000+00:00,false,0,vedinad,
