id,activity,application,application_id,attachments,attachments.0.content_scan_version,attachments.0.content_type,attachments.0.filename,attachments.0.height,attachments.0.id,attachments.0.proxy_url,attachments.0.size,attachments.0.url,attachments.0.width,author.accent_color,author.avatar,author.avatar_decoration_data,author.banner,author.banner_color,author.clan,author.collectibles,author.discriminator,author.display_name_styles,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,embeds.0.author.name,embeds.0.author.url,embeds.0.color,embeds.0.content_scan_version,embeds.0.provider.name,embeds.0.provider.url,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.title,embeds.0.type,embeds.0.url,embeds.0.video.flags,embeds.0.video.height,embeds.0.video.proxy_url,embeds.0.video.url,embeds.0.video.width,flags,interaction,mention_channels,mention_everyone,mentions,mentions.0.accent_color,mentions.0.avatar,mentions.0.avatar_decoration_data,mentions.0.avatar_decoration_data.asset,mentions.0.avatar_decoration_data.expires_at,mentions.0.avatar_decoration_data.sku_id,mentions.0.banner,mentions.0.banner_color,mentions.0.clan,mentions.0.clan.badge,mentions.0.clan.identity_enabled,mentions.0.clan.identity_guild_id,mentions.0.clan.tag,mentions.0.collectibles,mentions.0.collectibles.nameplate.asset,mentions.0.collectibles.nameplate.label,mentions.0.collectibles.nameplate.palette,mentions.0.collectibles.nameplate.sku_id,mentions.0.discriminator,mentions.0.display_name_styles,mentions.0.flags,mentions.0.global_name,mentions.0.id,mentions.0.primary_guild,mentions.0.primary_guild.badge,mentions.0.primary_guild.identity_enabled,mentions.0.primary_guild.identity_guild_id,mentions.0.primary_guild.tag,mentions.0.public_flags,mentions.0.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
986274272446144514,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,<:monkaS:564754837028208641>,2022-06-14T14:21:50.641Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,526511d5e860c0dcffda1cc932325d10,,,,,,,,0621ddb6e731ee8c344c43e40383e84b,true,251072485095636994,Tree,,,,,,0,,256,Cog,316542826278158336,,0621ddb6e731ee8c344c43e40383e84b,true,251072485095636994,Tree,256,cogdev,,474583324396879884,474583323340046337,986274216573800479,0,,false,,,,,,,,,2022-06-14T14:21:50.641000+00:00,false,19,danii,
986274065872453632,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,yeah its wiiild,2022-06-14T14:21:01.390Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,141c68af645ec1ace45eb0ca3e74598b,,a_3012fad396abbf24e325431800b51510,,1306330663015809024,,,,6473797948e6d36a991e425c8b7c353c,true,205192282259980288,DRAW,,,,,,0,,0,Mevnie,344853563568029696,,6473797948e6d36a991e425c8b7c353c,true,205192282259980288,DRAW,0,mevnie,,474583324396879884,474583323340046337,986274036482994226,0,,false,,,,,,,,,2022-06-14T14:21:01.390000+00:00,false,19,danii,
986274027293266020,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,"yeah kind of, i just see shadow demons and its fucking terrifying lmaooo",2022-06-14T14:20:52.192Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,0000,,0,,456226577798135808,,,,,,0,Deleted User,,474583324396879884,474583323340046337,986273884863103008,0,,false,,,,,,,,,2022-06-14T14:20:52.192000+00:00,false,19,danii,
986273866588520489,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,its not like i want to have sleep paralysis lmao,2022-06-14T14:20:13.877Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,253bc8660a151c86bffae4c5dd5c1511,,,,,,,,753f01f2e9360a1aa7e0323c8fc1bc40,true,728905379274162177,jpeg,,,,,,0,,0,Svemix,569945594961985566,,753f01f2e9360a1aa7e0323c8fc1bc40,true,728905379274162177,jpeg,0,svemix002,,474583324396879884,474583323340046337,986273779812556860,0,,false,,,,,,,,,2022-06-14T14:20:13.877000+00:00,false,19,danii,
986273673226883102,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,yeah i mean you can do it without sleep paralysis too,2022-06-14T14:19:27.776Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,253bc8660a151c86bffae4c5dd5c1511,,,,,,,,753f01f2e9360a1aa7e0323c8fc1bc40,true,728905379274162177,jpeg,,,,,,0,,0,Svemix,569945594961985566,,753f01f2e9360a1aa7e0323c8fc1bc40,true,728905379274162177,jpeg,0,svemix002,,474583324396879884,474583323340046337,986273611339927582,0,,false,,,,,,,,,2022-06-14T14:19:27.776000+00:00,false,19,danii,
986273535049744454,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,hard to explain lmao,2022-06-14T14:18:54.832Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,0000,,0,,456226577798135808,,,,,,0,Deleted User,,474583324396879884,474583323340046337,986273485678604308,0,,false,,,,,,,,,2022-06-14T14:18:54.832000+00:00,false,19,danii,
986273472684638268,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,yeah it fucking sucks,2022-06-14T14:18:39.963Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,4791da68650f5097535a64780e886e01,,,,,,,,,,,,,,,,,0,,256,Doozi 🍞,814377076291272726,,,,,,256,doozi_,,474583324396879884,474583323340046337,986273444167561226,0,,false,,,,,,,,,2022-06-14T14:18:39.963000+00:00,false,19,danii,
986273375246778428,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,lmao,2022-06-14T14:18:16.732Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2022-06-14T14:18:16.732000+00:00,false,0,danii,
986273370465267734,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,its awful,2022-06-14T14:18:15.592Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2022-06-14T14:18:15.592000+00:00,false,0,danii,
986273365096546354,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,"you basically need to have sleep paralyzis which is hell, and then turn that into a lucid dream",2022-06-14T14:18:14.312Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2022-06-14T14:18:14.312000+00:00,false,0,danii,
986273282451972116,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,you dont even wanna trust me lmao,2022-06-14T14:17:54.608Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,0000,,0,,456226577798135808,,,,,,0,Deleted User,,474583324396879884,474583323340046337,986273190336688218,0,,false,,,,,,,,,2022-06-14T14:17:54.608000+00:00,false,19,danii,
986273171311300658,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,yah,2022-06-14T14:17:28.110Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2022-06-14T14:17:28.110000+00:00,false,0,danii,
986273140135034911,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,<:monkaS:564754837028208641>,2022-06-14T14:17:20.677Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,141c68af645ec1ace45eb0ca3e74598b,,a_3012fad396abbf24e325431800b51510,,1306330663015809024,,,,6473797948e6d36a991e425c8b7c353c,true,205192282259980288,DRAW,,,,,,0,,0,Mevnie,344853563568029696,,6473797948e6d36a991e425c8b7c353c,true,205192282259980288,DRAW,0,mevnie,,474583324396879884,474583323340046337,986273109378203678,0,,false,,,,,,,,,2022-06-14T14:17:20.677000+00:00,false,19,danii,
986273114742730803,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,its really hard to control anything though lmao i just woke up instantly,2022-06-14T14:17:14.623Z,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2022-06-14T14:17:14.623000+00:00,false,0,danii,
